Dionamella,Dionamella | Great General of Ages | Dioname |,Female |,1600 |,Half-Elf |,Deceased |,Ailendamus |,Terandria |,Ailendamus |,General |,Leader |,,3,221,8
Dakelos,Dakelos | Admiral Dakelos | Admiral Idiot |,Male |,,Human |,Alive |,Ailendamus |,Terandria | Sea |,Ailendamus |,General | Sailor |,Leader |,,3,438,7
Itorin,Itorin Zessoprical II | King Itorin II |,Male |,,Human |,Alive |,Ailendamus |,Terandria |,Ailendamus |,Monarch | Royal |,Non-combat |,https://wiki.wanderinginn.com/images/6/67/Itorin2nd_by_Ayutac.png,3,338,7
Sophridel,Sophridel | Sophridel of Many Faces | Keeper of Masks | Alniesierr Carnevien |,Nonbinary |,700 |,Elemental |,Alive |,Ailendamus | Immortals,Terandria |,Ailendamus |,Noble | Intellect |,Non-combat |,https://wiki.wanderinginn.com/images/4/47/Sophridel-by-Enuryn.jpeg,3,142,8
Menorkel,Menorkel | Menor |,Male |,120 |,Titan |,Alive |,Ailendamus | Immortals |,Terandria |,Ailendamus |,Layabout | Performer |,Non-combat |,,3,177,8
First Grand Queen,First Grand Queen | The 1st Grand Queen | First Queen |,Female |,7000 |,Antinium |,Deceased |,Unaffiliated |,Rhir |,Demon Kingdom |,Monarch |,Leader |,,3,61,1
Capoinelia,Capoinelia Arcsinger |,Female |,28 |,Half-Elf |,Alive |,Arcsinger's Bows |,Izril | ,Invrisil |,Adventurer |,Archer |,,3,87,8
Armored Queen,Armored Queen | The Queen of the Armored Antinium |,Female |,,Antinium |,Alive |,Armored Antinium |,Izril |,Hivelands |,Monarch |,Leader |,,3,208,5
Dekass,Dekass |,Male |,,Antinium |,Alive |,Armored Antinium |,Izril |,Hivelands |,Prognugator |,Warrior |,,3,297,6
Tersk,Tersk | Tersk of the Armored Antinium |,Male |,,Antinium |,Deceased |,Armored Antinium |,Izril |,Hivelands |,Prognugator |,Warrior |,,3,427,3
Theofore,Theofore |,Male |,,Human |,Alive |,Assassin's Guild | Magnolia Reinhart |,Izril |,Invrisil |,Assassin |,Rogue |,,3,99,1
Vaulont,Vaulont | Vaulont the Ash |,Male |,,Vampire | Human |,Alive |,Assassin's Guild | The Wandering Inn |,Izril |,The Wandering Inn | Invrisil |,Assassin |,Rogue |,,3,74,8
Kerash,Kerash | Kerasil |,Male |,,Undead |,Active |,Az'kerash | Chosen |,Izril |,New Lands |,Chieftain |,Warrior |,,3,218,2
Bea,Bea |,Female |,10 |,Undead |,Deceased |,Az'kerash | Chosen |,Izril |,Bloodfields |,Vassal |,Warrior |,,3,307,2
Healing Slime,Healing Slime |,Nonbinary |,1 |,Slime |,Alive |,Az'kerash |,Izril |,Liscor | The Wandering Inn | Bloodfields |,Doctor |,Non-combat |,https://wiki.wanderinginn.com/images/0/07/Healing_Slime_%28Zoomed_In%29_by_auspiciousoctopi.jpg,3,97,6
Quiteil,Quiteil | Bastion-GeneralÂ Quiteil |,Male |,,Human |,Alive |,Blighted Kingdom |,Rhir |,Blighted Kingdom | 4th Wall |,General |,Leader |,,3,125,7
Hayvon,Hayvon Operland |,Male |,,Human |,Alive |,Blighted Kingdom |,Rhir |,Blighted Kingdom |,Noble |,Leader |,,3,313,6
Nereshal,Nereshal |,Male |,,Human |,Alive |,Blighted Kingdom |,Rhir |,Blighted Kingdom |,Secretary | Mage |,Mage |,,3,259,4
Coretine,Coretine | Blighted Queen | Coretine the First |,Female |,36 |,Human |,Alive |,Blighted Kingdom |,Rhir |,Blighted Kingdom |,Monarch | Royal | Soldier |,Non-combat |,https://wiki.wanderinginn.com/images/6/64/Blighted-queen-by-boboplushie.jpg,3,63,1
Fool,Fool | Fool |,Male |,,Human |,,Blighted Kingdom | Demon Kingdom |,Rhir |,Blighted Kingdom |,Assassin |,Rogue |,,3,278,1
Salkis,Salkis Blackwing |,Female |,,Drake |,Alive |,Bloodfeast Raiders | Fellowship of the Inn |,Izril |,Pallass |,Noble | Crime |,Warrior |,,3,255,5
Jiupe,Jiupe | Screamtouch Jiupe |,Female |,,Drowned Person |,Deceased |,Bloodtear Pirates |,Sea |,Boat |,Pirate |,Warrior |,,3,176,8
Crimshaw,Crimshaw |,Male |,41 |,Human |,Deceased |,Brotherhood of Serendipitous Meetings |,Izril |,Invrisil | The Wandering Inn |,Crime | Guard |,Warrior | Rogue |,,3,115,7
Marquin,Marquin | Marquin the Radiant | Marquin of Calanfer | Queen Marquin of Calanfer | Queen Marquin of the Single Breast |,Female |,,Human |,Deceased |,Calanfer | House Marquin |,Terandria |,Calanfer |,Monarch | Soldier |,Leader |,,3,659,2
Aielef,Aielef du Marquin | Aielef the Fierce |,Female |,37|,Human |,Alive |,Calanfer | House Marquin |,Terandria |,Kaliv |,Royal |,Non-combat |,,3,316,8
Vernoue,Vernoue du Marquin | Vernoue the Enchanting |,Female |,25 |,Human |,Alive |,Calanfer | House Marquin |,Terandria |,Calanfer |,Royal |,Non-combat |,https://wiki.wanderinginn.com/images/8/87/Vernoue_by_Chalyon.png,3,170,8
Menisi,Menisi du Marquin | Menisi the Watchful |,Female |,,Human |,Alive |,Calanfer | House Marquin |,Terandria |,Calanfer |,Royal |,Non-combat |,,3,14,8
Timbor,Timbor Parithad |,Male |,47 |,Human |,Alive |,Celum | The Drunken Gnoll |,Izril |,Celum | Liscor |,Innkeeper |,Non-combat |,,3,141,4
Czkelcill,Czkelcill Mirrex | Mirrex the Bard | Voice of the Antinium |,Male |,6000 |,Antinium |,Alive |,Centenium |,Rhir |,Demon Kingdom |,Centenium | Performer |,Mage |,,3,30,7
Galuc,Galuc | Galuc the Digger | Galuc the Builder |,Male |,,Antinium |,Deceased |,Centenium |,Rhir |,Demon Kingdom |,Centenium | Artisan |,Non-combat |,,3,65,3
Devrkr,Devrkr | Devrkr the Glowing | Glowing One |,Male |,,Antinium |,Deceased |,Centenium |,Rhir |,Demon Kingdom |,Centenium | Alchemist |,Warrior |,,3,24,7
Ierwyn,Ierwyn | Ierwyn the Herald of Forests |,Female |,200 |,Half-Elf |,Alive |,Claiven Earth |,Chandrar |,Claiven Earth |,General |,Warrior | Leader |,,3,87,8
Sprigaena,Sprigaena | The Last Elf | The Last Traitor | Sprigaena of the Fall | Traitor of Elves | Queen Sprithae |,Female |,,Elf |,Deceased |,Dead Gods |,Terandria |,Erribathe |,God |,God |,https://wiki.wanderinginn.com/images/6/6e/Sprigaena_closeup_by_onionlittle.jpg,3,158,8
Thresk,Thresk | Warmage Thresk |,Male |,,,Deceased |,Unaffiliated |,Izril |,Albez |,Mage |,Mage |,,3,69,3
Demon King,Demon King |,Male |,,Demon |,Alive |,Demon Kingdom |,Rhir |,Demon Kingdom |,Monarch |,Leader |,,3,94,2
Flora,Flora | Flora of Humans | Flora of Texas | Flora of Earth |,Female |,,Human |,Alive |,Demon Kingdom | Earthers |,Rhir |,Demon Kingdom |,Vassal |,Archer |,https://wiki.wanderinginn.com/images/b/b1/Flora-by-cortz.jpg,3,205,7
Altestiel,Altestiel | Earl Altestiel | Knight Marshall Altestiel | Earl of Rains | RainyEarl | Rainy Boy | A Hungry Earl |,Male |,41 |,Human |,Deceased |,Desonis |,Terandria |,Desonis |,Noble |,Leader |,https://wiki.wanderinginn.com/images/b/bf/Earl_Altestiel_by_Chalyon.png,3,994,7
Rhaldon,Rhaldon Flemmens |,Male |,,Human |,Alive |,Driver's Guild | Alchemist's Guild | Earthers |,Izril |,The Wandering Inn |,Runner | Alchemist |,Non-combat |,https://wiki.wanderinginn.com/images/1/11/Rhaldon_by_Lanrae.jpg,3,1044,9
Shassa,Shassa Weaverweb |,Female |,,Drake |,Alive |,Liscor |,Izril |,Oteslia |,Druid | Intellect |,Mage |,https://wiki.wanderinginn.com/images/e/e4/M15_druid_by_Brack.jpg,3,213,7
Rickel,Rickel |,Male |,21 |,Human |,Alive |,Earthers |,Izril |,Oteslia |,Crime |,Non-combat |,,3,202,8
Richard,Richard Davenport | Coach |,Male |,20 |,Human |,Alive |,Earthers |,Rhir |,Blighted Kingdom |,Soldier | Hero |,Warrior |,https://wiki.wanderinginn.com/images/a/a2/Richard-portrait-by-cortz.jpg,3,717,2
Emily,Emily | Waterbender |,Female |,20 |,Human |,Unknown |,Earthers | Blighted Kingdom |,Rhir |,Blighted Kingdom |,Soldier | Hero |,Mage |,,3,155,2
Kent Scott,Kent Scott |,Male |,,Human |,Alive |,Earthers | Roshal,Chandrar |,Roshal |,Slave |,Non-combat |,,3,40,2
Emperor of Sands,Emperor of Sands | Emperor of Sands |,Nonbinary |,,String Person |,Alive |,Empire of Sands |,Chandrar |,Empire of Sands |,Monarch | Royal |,Non-combat |,,3,138,2
Imor,Imor Seagrass | Lord Admiral Seagrass | Tyrant Seagrass | Duke Seagrass |,Male |,,,Alive |,Empire of Sands |,Sea |,Boat |,Noble | Sailor |,Leader |,,3,66,6
Nuvityn,Nuvityn |,Male |,241 |,Human |,Alive |,Erribathe |,Terandria |,Erribathe |,Monarch | Royal |,Leader |,,3,272,9
Iradoren,Iradoren | Prince Iradoren |,Male |,70 |,Human |,Deceased |,Erribathe |,Terandria |,Erribathe |,Royal |,Leader |,,3,354,9
Florist,Florist | Monster |,Female |,,Human |,Deceased |,Esthelm | Redfang Tribe |,Izril |,Esthelm |,Artisan |,Non-combat |,https://wiki.wanderinginn.com/images/f/fd/Florist-by-tomeo.jpg,3,96,1
Vofea,Vofea |,Female |,10892 |,Satyr | Fae |,Alive |,Fae | Horns of Hammerad |,Avalon | Izril | Baleros |,Avalon | ,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/b/bf/Vofea-by-ArtsyNada.jpg,3,255,9
Melidore,Melidore |,Male |,,Fae |,Alive |,Fae | Immortals,Avalon |,Avalon |,Noble |,Warrior |,,3,194,7
Nama,Nama |,Female |,,,Alive |,Fae | Immortals |,Avalon |,Avalon |,God |,God |,https://wiki.wanderinginn.com/images/1/17/Nama_Mushroom.jpg,3,93,7
Theillige,,Nonbinary |,,,,Fae | Immortals |,Izril | Avalon |,Avalon |,Soldier |,Warrior |,,3,78,9
Fezimet,Fezimet Tusqual |,Male |,,Quexal | Lizardfolk |,Deceased |,Jungle Tails |,Baleros |,Talenqual |,Soldier |,Leader |,,3,266,6
Dragial,Dragial |,Male |,,Drake |,Deceased |,Fissival |,Izril |,Fissival |,Noble |,Mage |,,3,155,7
Keldrass,Keldrass |,Male |,,Drake |,Alive |,Unaffiliated |,Izril |,Pallass |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/2/27/Flamewarden_by_DemonicCriminal.jpg,3,366,5
Frostwing,Frostwing |,Female |,,Eagle |,Alive |,Flooded Waters Tribe |,Izril |,Riverfarm |,Vassal |,Non-combat |,https://wiki.wanderinginn.com/images/6/67/Laken_by_MG.jpg,3,297,3
Somo,Somo,Female |,,Ogre |,Alive |,Flooded Waters Tribe |,Izril |,Goblinhome |,Soldier |,Warrior |,,3,70,8
Frost Wyvern Lord,Frost Wyvern Lord | Wyvern Lord |,Male |,80 |,Wyvern |,Alive |,Flooded Waters Tribe |,Izril |,High Passes |,Noble |,Warrior |,,3,375,7
Dyeda,Dyeda |,Female |,,Hobgoblin | Goblin |,Alive |,Flooded Waters Tribe | Mountain City Tribe |,Izril |,Goblinhome |,Artisan |,Non-combat |,https://wiki.wanderinginn.com/images/f/f2/Dyeda.png,3,170,10
Rianchi,Rianchi |,Male |,,Hobgoblin | Goblin |,Alive |,Flooded Waters Tribe | Redfang Tribe |,Izril |,Goblinhome |,Layabout | Smith |,Non-combat |,,3,194,10
Sticks,Sticks |,Male |,,Goblin |,Alive |,Flooded Waters Tribe | The Wandering Inn |,Izril |,Goblinhome | The Wandering Inn |,Innkeeper |,Non-combat |,,3,55,9
Ressga,Ressga |,Female |,,Goblin |,Alive |,Flooded Waters Tribe | The Wandering Inn | Magnolia Reinhart |,Izril |,Goblinhome | The Wandering Inn |,Maid |,Rogue |,https://wiki.wanderinginn.com/images/thumb/3/3d/Ressga-by-LeChatDemon.webp/1243px-Ressga-by-LeChatDemon.webp.png,3,14,9
Tottenval,Tottenval | Blooming Plague | The King's Gardener |,Male |,,Beastkin |,Deceased |,Flos Reimarch | Seven |,Chandrar |,Reim |,Artisan | Vassal |,Non-combat |,,3,51,4
Flying Queen,Flying Queen | The Queen of the Flying Antinium | Flying Queen |,Female |,,Antinium |,Alive |,Flying Antinium |,Izril |,Hivelands |,Monarch |,Leader |,,3,144,5
Pivr,Pivr |,Male |,,Antinium |,Alive |,Flying Antinium | Fellowship of the Inn |,Izril |,Hivelands |,Prognugator |,Warrior |,,3,316,3
Diomedes,Diomedes | Cyclops |,Male |,140 |,Cyclops |,Alive |,Forgotten Wing Company |,Baleros |,Elvallian |,General |,Leader |,,3,213,1
Peclir,Peclir Im |,Male |,,Human |,Alive |,Forgotten Wing Company | Jungle Tails |,Baleros |,Elvallian |,Vassal | Assassin |,Rogue |,,3,301,4
Xevccha,Xevccha | Queen of the Free Antinium | Free Queen | Xevccha |,Female |,250 |,Antinium |,Alive |,Free Antinium |,Izril |,Liscor |,Monarch |,Leader |,https://wiki.wanderinginn.com/images/b/b2/Free_Queen_posing_by_LeChat_lesser.jpg,3,800,1
Furfur,Furfur |,Male |,,Antinium |,Alive |,Free Antinium |,Izril |,Liscor |,Artisan |,Non-combat |,https://wiki.wanderinginn.com/images/3/32/Fur_Fur_by_LeChatDemon_-_Cutout.jpg,3,37,8
Silveran,Silveran | Silveran the Cleaner | Silverstache |,Male |,1 |,Antinium |,Alive |,Free Antinium | ,Izril |,The Wandering Inn | Liscor |,Innkeeper |,Non-combat |,https://wiki.wanderinginn.com/images/c/c0/Silverstache-by-brack.jpg,3,348,7
The Crimson Soldier,The Crimson Soldier | Crimson | Crimson Antinium |,Male |,6 |,Antinium |,Alive |,Free Antinium | Fellowship of the Inn | Painted Antinium |,Izril |,Liscor |,Soldier |,Warrior |,,3,148,1
Artur,Artur |,Male |,,Antinium |,Alive |,Free Antinium | Painted Antinium |,Izril |,Liscor |,Soldier |,Leader |,https://wiki.wanderinginn.com/images/a/ae/Artur.jpg,3,233,8
Purple Smile,Purple Smile | Scary-purple-smile-guy |,Male |,,Antinium |,Alive |,Free Antinium | Painted Antinium |,Izril |,Liscor |,Soldier |,Leader |,https://wiki.wanderinginn.com/images/6/6f/Purple_smile_by_MG.jpg,3,172,4
Infinitypear,Infinitypear |,Male |,,Antinium |,Alive |,Free Antinium | Painted Antinium |  Fellowship of the Inn | Silver Swords |,Izril |,Liscor | Great Plains | New Lands |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/0/0b/Rasktooth_and_Infinitypear_by_Artsy_Nada.jpg,3,330,8
Thaina,Thaina |,Female |,1 |,Antinium |,Alive |,Free Antinium | Painted Antinium | Magnolia Reinhart |,Izril |,Liscor |,Priest |,Priest |,,3,58,6
Chesacre,Chesacre |,Female |,1 |,Antinium |,Alive |,Free Antinium | Painted Antinium | Magnolia Reinhart |,Izril |,Liscor |,Priest | Secretary |,Priest |,,3,58,6
Rosencrantz,Rosencrantz |,Nonbinary |,,Antinium |,Alive |,Free Antinium | The Wandering Inn |,Izril |,The Wandering Inn |,Innkeeper |,Non-combat |,,3,153,9
Theikha,Theikha | Shaman Theikha |,Female |,150 |,Gnoll |,Alive |,Gaarh Marsh Tribe |,Izril |,Great Plains |,Shaman |,Mage |,,3,524,1
Earlia,Earlia |,Female |,,Human |,Alive |,Gemhammer |,Izril |,Liscor |,Adventurer |,Warrior |,,3,352,5
Vaitsha,Vaitsha Zectiou |,Female |,33 |,Human |,Alive |,Germina |,Chandrar |,Germina |,Vassal | Assassin |,Rogue |,https://wiki.wanderinginn.com/images/b/ba/Highborn_Vaitshia_by_Tomeo.jpg,3,90,6
Jewel,Jewel |,Female |,20 |,Human |,Alive |,Glitterblade | Order of Solstice |,Izril |,The Wandering Inn |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/thumb/b/bb/Jewel_by_kalabaza.webp/1126px-Jewel_by_kalabaza.webp.png,3,622,7
Grand Queen,Grand Queen |,Female |,,Antinium |,Alive |,Grand Hive |   ,Izril |,Hivelands |,Monarch |,Leader |,,3,561,1
Quexa,Quexa |,Female |,,Lizardfolk |,Alive |,Gravetender's Fist |,Baleros |,Talenqual |,Soldier |,Warrior |,,3,117,4
Quallet,Quallet Marshhand |,Male |,,Human |,Deceased |,Gravetender's Fist | United Nations | Earthers,Baleros |,Talenqual |,Soldier |,Leader |,,3,477,4
Orelighn,Orelighn |,Male |,,Gnoll |,Alive |,Greenpaw Tribe |,Izril |,Great Plains |,Chieftain |,Non-combat |,,3,139,7
Cade,Cade Rishaw |,Male |,4|,Human |,Alive |,Griffon Hunt |,Izril |,Riverfarm |,Child |,Non-combat |,,3,199,7
Briganda,Briganda Rishaw | Briggy |,Female |,37 |,Human |,Alive |,Griffon Hunt |,Izril |,Riverfarm |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/6/61/Briganda_by_MG.jpg,3,435,6
Ulrien,Ulrien Sparson |,Male |,,Human |,Deceased |,Griffon Hunt |,Izril |,The Wandering Inn |,Adventurer |,Warrior |,,3,355,2
Sostrom,Sostrom Reidez |,Male |,30 |,Human |,Deceased |,Horns of Hammerad |,Izril |,North Izril |,Adventurer |,Mage |,https://wiki.wanderinginn.com/images/5/52/Sostrom_by_DemonicCriminal.jpg,3,116,1
Gerial,Gerial Doerisel |,Male |,,Human |,Deceased |,Horns of Hammerad |,Izril |,North Izril |,Adventurer |,Warrior |,https://wiki.wanderinginn.com/images/7/7e/Hunt_Gerial_by_DemonicCriminal.jpg,3,541,1
Yitton,Yitton Byres |,Male |,53 |,Human |,Alive |,House Byres |,Izril |,Byers' Lands |,Noble |,Leader |,,3,593,5
Ysara,Ysara Byres | Silver Trader | Silver Merchant |,Female |,,Human |,Alive |,House Byres |,Izril |,Byers' Lands | Great Plains |,Merchant | Noble |,Non-combat |,,3,591,1
Padurn,Padurn Jealnet |,Male |,,Human |,,Unaffiliated |,Terandria |,Ailendamus |,Soldier |,Warrior |,,3,26,6
Zedalien,Zedalien | Steward Zedalien |,Male |,209 |,Half-Elf |,Alive |,House El |,Izril |,New Lands | Gaiil-Drome |,Secretary |,Non-combat |,,3,145,7
Desinee,Desinee El |,Female |,,Human |,Alive |,House El |,Izril |,North Izril |,Noble |,Non-combat |,,3,104,7
Deilan,Deilan El |,Male |,36 |,Human |,Alive |,House El |,Izril |,North Izril |,Noble | Artisan |,Non-combat |,,3,201,7
Reclis,Reclis du Marquin |,Male |,,Human |,Alive |,House Marquin | Calanfer |,Terandria |,Calanfer |,Monarch | Royal |,Non-combat |,https://wiki.wanderinginn.com/images/7/78/Reclis_Cutout_by_qenesu.jpg,3,145,8
Ellet,Ellet du Marquin |,Female |,13 |,Human |,Alive |,House Marquin | Calanfer |,Terandria |,Calanfer |,Royal | Child |,Non-combat |,,3,36,8
Inreza,Inreza | King of Minotaurs |,Female |,,Minotaur |,Alive |,House of Minos |,Isles |,Isle of Minos |,Monarch | Royal |,Warrior | Leader |,,3,88,7
Rhata,"Rhata | Rhata, Trident-Guardian of the Harbor of Hammerad |",Female |,,Rodent |,Alive |,House of Minos |,Izril |,Liscor | The Wandering Inn |,Layabout |,Non-combat |,https://wiki.wanderinginn.com/images/a/a7/Rhata_cutout.jpg,3,48,6
Haldagaz,"Haldagaz | Haldagaz, Vanquisher of Foes |",Male |,,Rodent |,Alive |,House of Minos |,Izril |,Liscor | The Wandering Inn |,Layabout |,Non-combat |,https://wiki.wanderinginn.com/images/2/2b/Haldagaz_cutout.jpg,3,48,6
Regis,Regis Reinhart | Grandfather |,Male |,3800 |,Ghost |,Active |,House Reinhart | Circle of Thorns |,Izril |,First Landing |,Noble |,Non-combat |,https://wiki.wanderinginn.com/images/2/20/Regis_cutout_by_Brack.jpg,3,205,4
Uzine,Uzine |,Male |,,Agelum |,Alive |,House Shoel | Ailendamus | Immortals,Terandria |,Ailendamus |,Noble |,Warrior |,,3,178,8
Azemith,Azemith |,Female |,,Lucifen |,Deceased |,House Shoel | Immortals | Ailendamus,Terandria |,Ailendamus |,Noble |,Mage |,,3,115,8
Igolze,Igolze |,Male |,,Lucifen |,Deceased |,House Shoel | Immortals | Ailendamus,Terandria |,Ailendamus |,Noble |,Mage |,,3,87,8
Paxere,Paxere | Andomexalitne |,Female |,38 |,Lucifen |,Alive |,House Shoel | Immortals | Ailendamus,Terandria |,Ailendamus |,Noble |,Mage |,,3,331,8
Ulva,Ulva Terland |,Female |,60 |,Human |,Unknown |,House Terland |,Izril |,North Izril |,Noble |,Non-combat |,,3,291,1
Pryde,Pryde Ulta |,Female |,,Human |,Alive |,Magnolia Reinhart |,Izril |,North Izril |,Noble |,Leader |,https://wiki.wanderinginn.com/images/d/da/Pryde_by_Bobo_Plushie.png,3,678,1
Gralton,Gralton Radivaek | Gralton of Lycit | Dog Lord |,Male |,42 |,Human |,Alive |,House Veltras |,Izril |,Riverfarm |,Noble |,Leader |,,3,396,5
Jericha,Jericha Synthel |,Female |,40 |,Human |,Alive |,House Veltras |,Izril |,Veltras Lands |,Vassal | Mage |,Mage |,,3,824,5
Pellmia,Pellmia Quellae | Pell |,Male |,60 |,Human |,Alive |,House Veltras |,Izril |,North Izril |,Noble |,Non-combat |,,3,650,5
Swey,Swey Veltras |,Male |,,Human |,Alive |,House Veltras |,Izril |,Veltras Lands |,Noble |,Warrior |,,3,120,8
Gresaria,Gresaria Wellfar | Duchess of Waves | Duchess of Salt | Harbormistress of First Landing |,Female |,102 |,Human |,Deceased |,House Welfar |,Izril |,First Landing | ,Noble | Secretary |,Warrior |,https://wiki.wanderinginn.com/images/8/81/Gresaria-by-artsynada.jpg,3,208,7
Domehead,Domehead | Delaxi of Dellva |,Male |,1 |,Golem |,Alive |,Illivere | Tiqr,Chandrar |,Illivere |,Guard |,Warrior |,https://wiki.wanderinginn.com/images/3/3d/Domehead-by-Enuryn.png,3,499,7
Rasea,Rasea Zecrew | Rasea the Shining |,Female |,,Drowned Person |,Alive |,Unaffiliated |,Sea |,Boat |,Pirate |,Warrior |,https://wiki.wanderinginn.com/images/4/45/Artsynada_rasea.jpg,3,492,7
Sheta,Sheta | Empress Sheta of Iltanus | First-Wingdaughter of Iltanus |,Female |,,Harpies |,Deceased |,Unaffiliated |,Izril |,High Passes |,Monarch | Royal |,Leader |,,3,94,7
Xarkouth,Xarkouth | Dragonlord of Stars | Dragonlord of the Void | Grandmaster of Scales | Xark |,Male |,,Dragon |,Deceased |,Immortals |,Baleros |,Jungle |,Noble |,Mage |,,3,170,8
Bograms,Bograms |,Male |,,Halfling |,Alive |,Immortals |,Izril |,Crossroads of Izril |,Layabout |,Warrior |,https://wiki.wanderinginn.com/images/1/13/Bograms_by_GridCube.jpg,3,447,9
Cormelex,Cormelex |,Male |,,Lucifen |,Deceased |,Immortals |,Rhir |,Demon Kingdom |,Noble |,Mage |,,3,31,9
Seer of Steel,Seer of Steel | Seer of Steel |,Male |,,Dullahan |,Alive |,Iron Vanguard |,Baleros |,Invictel |,General |,Leader |,,3,52,6
Tulm,Tulm | Tulm the Mithril |,Male |,,Dullahan |,Alive |,Iron Vanguard |,Baleros |,Invictel |,Strategist |,Leader |,,3,652,6
Verdan,Verdan Blackwood | Dullahan Archmage | Archmage of Dullahans | Archmage of Armor | Archmagus Blackwood |,Male |,,Human |,Deceased |,Iron Vanguard | Wistram |,Wistram | Baleros |,Invictel | Wistram |,Archmage | Mage |,Mage |,,3,146,1
Jecaina,Jecaina Leysars | Princess Jecaina of Jecrass | Daughter of Duels | Queen Jecaina | Arbiter Queen of Jecrass | Death's Friend |,Female |,22 |,Human |,Alive |,Jecrass |,Chandrar |,Jecrass |,Monarch | Royal |,Leader |,https://wiki.wanderinginn.com/images/a/ac/Jecaina-cutout-by-1autumnleaf.png,3,1110,6
Cortese,Cortese | Hundredlord Cortese | Courty |,Male |,,Human |,Alive |,Kaaz |,Terandria |,Kaaz |,Noble |,Warrior |,https://wiki.wanderinginn.com/images/9/94/Dulist.png,3,476,9
Griffin Prince,Griffin Prince |,Male |,27 |,Human |,Alive |,Kaliv |,Terandria |,Kaliv |,Royal |,Archer |,https://wiki.wanderinginn.com/images/8/81/Griffinprince-by-tomeo.jpg,3,145,6
Serept,Suzerain Serept | The Watchful Giant | Battlekin of the House of Minos | The Blacksmith King | Suzerain Serept | Suzerain Serept of Khelt and the Nomads of the Sky | The Diamond Smith | Serept the Creator |,Male |,300 |,Half-Giant | Undead |,Deceased |,Khelt | Nomads of the Sky |,Chandrar |,Khelt |,Monarch | Smith | Royal |,Leader |,,3,176,7
Itreimedes,Itreimedes | King of Avel |,Male |,,Human |,Alive |,Unaffiliated |,Terandria |,Avel |,Monarch | Royal |,Non-combat |,,3,108,8
Thomast,Thomast Veniral | Chevalier Thomast |,Male |,,Human |,Alive |,Knights of the Petal | House Walchais,Izril |,North Izril |,Soldier | Noble |,Warrior |,https://wiki.wanderinginn.com/images/a/ac/THOMAST_%28persona_5_style%29_by_Chalyon.jpg,3,570,4
Naumel,Naumel |,Male |,,Goblin |,Alive |,Unaffiliated |,Izril |,First Landing |,Chieftain |,Leader | Warrior |,,3,176,7
Alonna,Alonna Swiftwing |,Female |,,Drake |,Alive |,Liscor |,Izril |,Liscor |,Mage | Mayor | Secretary |,Non-combat |,,3,215,1
Visma,Visma |,Female |,7 |,Drake |,Alive |,Liscor | ,Izril |,Liscor |,Child |,Non-combat |,https://wiki.wanderinginn.com/images/2/2a/Visma_by_ArtsyNada.jpg,3,554,7
Colfa,Colfa val Lischelle-Drakle |,Female |,,Human | Vampire |,Alive |,Liscor | Drakle Family,Izril |,Reizmelt | Liscor |,Farmer |,Non-combat |,,3,493,6
Himilt,Himilt val Lischelle-Drakle |,Male |,,Vampire | Human |,Alive |,Liscor | Drakle Family,Izril |,Reizmelt | Liscor |,Farmer |,Non-combat |,,3,320,6
Crusader 51,Crusader 51 |,Male |,,Antinium |,Deceased |,Liscor | Free Antinium |,Izril |,Liscor |,Soldier |,Warrior |,https://wiki.wanderinginn.com/images/3/35/51.jpg,3,325,8
Embraim,Embraim | Crusader 802 |,Male |,,Antinium |,Deceased |,Liscor | Free Antinium | Order of Solstice |,Izril |,Liscor |,Knight |,Leader |,https://wiki.wanderinginn.com/images/0/0c/Embraim_by_mg.jpg,3,153,9
Antherr,Antherr Twotwentyonethree Herodotus | Crusader 221-3 | Edmund |,Male |,,Antinium |,Alive |,Liscor | Free Antinium | Order of Solstice |,Izril |,Liscor |,Soldier |,Warrior |,https://wiki.wanderinginn.com/images/7/79/Antherr_Twotwentyonethree_Herodotus_by_mg.jpg,3,411,9
Tekshia,Tekshia Shivertail | Tekshia the Spearmaster |,Female |,84 |,Drake |,Deceased |,Liscor | Liscor's Adventurer's Guild,Izril |,Liscor |,Adventurer | Secretary |,Warrior |,https://wiki.wanderinginn.com/images/1/12/Tekshia_outlined_by_DemonicCriminal.jpg,3,585,1
Sserys,Sserys | High General Sserys | Sserys of Liscor | Spear of the Drakes |,Male |,,Drake |,Deceased |,Liscor | Liscorian Army |,Izril |,Liscor |,General |,Leader |,,3,487,2
Jeiss,Jeiss Sielmark |,Male |,,Drake |,Deceased |,Liscor's City Watch |,Izril |,Liscor |,Mayor | Guard |,Warrior |,,3,358,1
Beilmark,Beilmark | Senior Guardswoman Beilmark | Honored Beilmark |,Female |,,Gnoll |,Alive |,Liscor's City Watch |,Izril |,Liscor |,Guard |,Warrior |,,3,349,1
Nokha,Nokha |,Female |,,Raskghar |,Deceased |,Liscor's Dungeon |,Izril |,Liscor |,Crime |,Warrior |,https://wiki.wanderinginn.com/images/d/df/Nokha-by-johndoe.jpg,3,254,5
